docname,topic,proportion
Privacy_Rights_Cleaned.aws.csv:6075,000,0.643416
Privacy_Rights_Cleaned.aws.csv:6075,001,0.356584
Privacy_Rights_Cleaned.aws.csv:6110,000,1.0
Privacy_Rights_Cleaned.aws.csv:6145,001,0.508353
Privacy_Rights_Cleaned.aws.csv:6145,000,0.46101
Privacy_Rights_Cleaned.aws.csv:6145,003,0.030638
Privacy_Rights_Cleaned.aws.csv:6180,000,1.0
Privacy_Rights_Cleaned.aws.csv:6215,001,1.0
Privacy_Rights_Cleaned.aws.csv:6250,000,1.0
Privacy_Rights_Cleaned.aws.csv:6285,001,0.433402
Privacy_Rights_Cleaned.aws.csv:6285,000,0.412285
Privacy_Rights_Cleaned.aws.csv:6285,004,0.154313
Privacy_Rights_Cleaned.aws.csv:6320,001,1.0
Privacy_Rights_Cleaned.aws.csv:6355,001,0.699221
Privacy_Rights_Cleaned.aws.csv:6355,000,0.300779
Privacy_Rights_Cleaned.aws.csv:6390,000,0.850573
Privacy_Rights_Cleaned.aws.csv:6390,002,0.149427
Privacy_Rights_Cleaned.aws.csv:6425,003,1.0
Privacy_Rights_Cleaned.aws.csv:6460,001,1.0
Privacy_Rights_Cleaned.aws.csv:6495,000,0.664836
Privacy_Rights_Cleaned.aws.csv:6495,001,0.244628
Privacy_Rights_Cleaned.aws.csv:6495,003,0.046935
Privacy_Rights_Cleaned.aws.csv:6495,004,0.043601
Privacy_Rights_Cleaned.aws.csv:6530,004,1.0
Privacy_Rights_Cleaned.aws.csv:6565,001,1.0
Privacy_Rights_Cleaned.aws.csv:6600,000,0.635336
Privacy_Rights_Cleaned.aws.csv:6600,001,0.297946
Privacy_Rights_Cleaned.aws.csv:6600,003,0.066718
Privacy_Rights_Cleaned.aws.csv:6635,000,1.0
Privacy_Rights_Cleaned.aws.csv:6670,003,1.0
Privacy_Rights_Cleaned.aws.csv:6705,004,1.0
Privacy_Rights_Cleaned.aws.csv:6740,000,0.660978
Privacy_Rights_Cleaned.aws.csv:6740,003,0.211865
Privacy_Rights_Cleaned.aws.csv:6740,001,0.127158
Privacy_Rights_Cleaned.aws.csv:6775,000,0.642433
Privacy_Rights_Cleaned.aws.csv:6775,001,0.282133
Privacy_Rights_Cleaned.aws.csv:6775,004,0.042505
Privacy_Rights_Cleaned.aws.csv:6775,003,0.032929
Privacy_Rights_Cleaned.aws.csv:6810,001,1.0
Privacy_Rights_Cleaned.aws.csv:6845,000,0.595533
Privacy_Rights_Cleaned.aws.csv:6845,001,0.396245
Privacy_Rights_Cleaned.aws.csv:6845,003,0.008222
Privacy_Rights_Cleaned.aws.csv:6880,000,0.57468
Privacy_Rights_Cleaned.aws.csv:6880,001,0.218596
Privacy_Rights_Cleaned.aws.csv:6880,004,0.152706
Privacy_Rights_Cleaned.aws.csv:6880,003,0.054018
Privacy_Rights_Cleaned.aws.csv:6915,000,1.0
Privacy_Rights_Cleaned.aws.csv:6950,000,1.0
Privacy_Rights_Cleaned.aws.csv:6985,001,1.0
Privacy_Rights_Cleaned.aws.csv:7020,001,1.0
Privacy_Rights_Cleaned.aws.csv:7055,000,0.621503
Privacy_Rights_Cleaned.aws.csv:7055,001,0.255716
Privacy_Rights_Cleaned.aws.csv:7055,003,0.053931
Privacy_Rights_Cleaned.aws.csv:7055,004,0.045734
Privacy_Rights_Cleaned.aws.csv:7055,002,0.023116
Privacy_Rights_Cleaned.aws.csv:7090,000,0.611855
Privacy_Rights_Cleaned.aws.csv:7090,001,0.266491
Privacy_Rights_Cleaned.aws.csv:7090,004,0.092611
Privacy_Rights_Cleaned.aws.csv:7090,003,0.029043
Privacy_Rights_Cleaned.aws.csv:7125,001,0.514559
Privacy_Rights_Cleaned.aws.csv:7125,000,0.214749
Privacy_Rights_Cleaned.aws.csv:7125,004,0.207541
Privacy_Rights_Cleaned.aws.csv:7125,003,0.063151
Privacy_Rights_Cleaned.aws.csv:7160,002,1.0
Privacy_Rights_Cleaned.aws.csv:7195,000,1.0
Privacy_Rights_Cleaned.aws.csv:7230,003,1.0
